location,NUTS_ID,NUTS_NAME,harvest_year,sowing_date,sowing_doy,emergence_date,emergence_doy,flowering_date,flowering_doy,maturity_date,maturity_doy,weather_covered
0,DE40F,Prignitz,2020,2019-09-24,267,2019-10-04,277,2020-05-30,150,2020-07-31,212,False
1,DE40I,Uckermark,2020,2019-09-08,251,2019-09-19,262,2020-05-22,142,2020-07-25,206,False
2,DE40A,Oberhavel,2020,2019-10-14,287,2019-10-24,297,2020-05-27,147,2020-07-24,205,False
3,DE405,Barnim,2020,2019-09-15,258,2019-09-25,268,2020-05-26,146,2020-07-23,204,False
4,DE40D,Ostprignitz-Ruppin,2020,2019-10-07,280,2019-10-19,292,2020-05-26,146,2020-07-24,205,False
5,DE409,Märkisch-Oderland,2020,2019-10-07,280,2019-10-19,292,2020-05-26,146,2020-07-28,209,False
6,DE408,Havelland,2020,2019-10-08,281,2019-10-13,286,2020-06-02,153,2020-08-08,220,False
7,DE40E,Potsdam-Mittelmark,2020,2019-10-04,277,2019-10-14,287,2020-05-23,143,2020-07-14,195,False
8,DE404,"Potsdam, Kreisfreie Stadt",2020,2019-10-12,285,2019-10-26,299,2020-05-27,147,2020-07-27,208,False
9,DE406,Dahme-Spreewald,2020,2019-10-09,282,2019-10-22,295,2020-05-26,146,2020-07-28,209,False
10,DE40C,Oder-Spree,2020,2019-10-20,293,2019-10-29,302,2020-05-23,143,2020-07-24,205,False
11,DE403,"Frankfurt (Oder), Kreisfreie Stadt",2020,2019-10-20,293,2019-10-29,302,2020-05-23,143,2020-07-24,205,False
12,DE401,"Brandenburg an der Havel, Kreisfreie Stadt",2020,2019-10-04,277,2019-10-14,287,2020-05-23,143,2020-07-14,195,False
13,DE40H,Teltow-Fläming,2020,2019-09-15,258,2019-09-28,271,2020-05-18,138,2020-07-26,207,False
14,DE40G,Spree-Neiße,2020,2019-10-12,285,2019-10-21,294,2020-05-24,144,2020-07-24,205,False
15,DE402,"Cottbus, Kreisfreie Stadt",2020,2019-10-15,288,2019-10-25,298,2020-05-18,138,2020-07-24,205,False
16,DE40B,Oberspreewald-Lausitz,2020,2019-11-04,308,2019-11-13,317,2020-05-13,133,2020-08-10,222,False
17,DE407,Elbe-Elster,2020,2019-09-28,271,2019-10-18,291,2020-05-16,136,2020-07-21,202,False
0,DE40F,Prignitz,2021,2020-09-26,269,2020-10-10,283,2021-06-07,158,2021-08-02,214,True
1,DE40I,Uckermark,2021,2020-09-10,253,2020-09-24,267,2021-06-05,156,2021-07-27,208,True
2,DE40A,Oberhavel,2021,2020-09-28,271,2020-10-10,283,2021-06-06,157,2021-08-02,214,True
3,DE405,Barnim,2021,2020-09-18,261,2020-09-29,272,2021-06-02,153,2021-07-24,205,True
4,DE40D,Ostprignitz-Ruppin,2021,2020-10-06,279,2020-10-21,294,2021-06-04,155,2021-07-24,205,True
5,DE409,Märkisch-Oderland,2021,2020-10-06,279,2020-10-20,293,2021-06-01,152,2021-07-27,208,True
6,DE408,Havelland,2021,2020-10-08,281,2020-10-13,286,2021-06-02,153,2021-08-08,220,True
7,DE40E,Potsdam-Mittelmark,2021,2020-10-04,277,2020-10-14,287,2021-05-23,143,2021-07-14,195,True
8,DE404,"Potsdam, Kreisfreie Stadt",2021,2020-10-12,285,2020-10-26,299,2021-05-27,147,2021-07-27,208,True
9,DE406,Dahme-Spreewald,2021,2020-10-12,285,2020-10-31,304,2021-06-04,155,2021-07-31,212,True
10,DE40C,Oder-Spree,2021,2020-10-03,276,2020-10-12,285,2021-05-26,146,2021-07-29,210,True
11,DE403,"Frankfurt (Oder), Kreisfreie Stadt",2021,2020-10-03,276,2020-10-12,285,2021-05-26,146,2021-07-29,210,True
12,DE401,"Brandenburg an der Havel, Kreisfreie Stadt",2021,2020-10-04,277,2020-10-14,287,2021-05-23,143,2021-07-14,195,True
13,DE40H,Teltow-Fläming,2021,2020-09-15,258,2020-09-28,271,2021-05-18,138,2021-07-26,207,True
14,DE40G,Spree-Neiße,2021,2020-10-07,280,2020-10-20,293,2021-06-05,156,2021-07-29,210,True
15,DE402,"Cottbus, Kreisfreie Stadt",2021,2020-10-15,288,2020-10-25,298,2021-05-18,138,2021-07-24,205,True
16,DE40B,Oberspreewald-Lausitz,2021,2020-11-04,308,2020-11-13,317,2021-05-13,133,2021-08-10,222,True
17,DE407,Elbe-Elster,2021,2020-10-02,275,2020-10-16,289,2021-06-06,157,2021-08-01,213,True
