Date,TempMean,TempMin,TempMax,Radiation,Precipitation,VapPressure,Windspeed
2020-01-01,1.3,-3.3,4.8,1498,0.0,0.48,1.8
2020-01-02,-0.8,-3.7,3.2,4252,0.0,0.46,2.2
2020-01-03,4.1,1.1,7.0,1524,4.0,0.65,3.6
2020-01-04,3.8,0.3,5.5,1796,3.0,0.6,4.2
2020-01-05,0.6,-2.7,2.7,2372,0.2,0.48,2.1
2020-01-06,3.8,1.6,5.5,1572,0.2,0.66,2.2
2020-01-07,2.4,-1.5,5.1,1590,0.2,0.53,2.6
2020-01-08,6.5,3.5,9.2,1610,0.5,0.77,2.9
2020-01-09,8.7,7.5,10.0,1630,3.5,1.0,2.7
2020-01-10,8.9,4.4,10.4,2949,1.5,0.82,3.4
2020-01-11,4.1,1.6,6.5,2983,0.0,0.66,2.7
2020-01-12,4.2,1.6,7.0,3201,0.2,0.67,3.6
2020-01-13,5.4,2.0,7.1,1722,0.1,0.69,2.6
2020-01-14,6.6,1.7,9.9,1933,0.4,0.69,4.0
2020-01-15,10.4,8.6,13.1,3042,0.0,1.09,3.9
2020-01-16,4.9,1.3,10.8,5076,0.0,0.67,2.3
2020-01-17,3.8,0.9,8.4,5092,0.0,0.64,2.6
2020-01-18,5.3,2.4,7.1,3849,0.0,0.7,2.9
2020-01-19,3.3,0.0,4.6,1942,0.0,0.59,1.9
2020-01-20,0.9,-3.0,4.0,2421,0.0,0.48,1.9
2020-01-21,2.3,-0.4,5.0,5368,0.0,0.58,2.3
2020-01-22,3.7,-1.9,6.3,1993,0.0,0.53,2.1
2020-01-23,2.0,-2.3,4.6,2234,0.0,0.5,1.8
2020-01-24,1.5,-1.8,4.7,5441,0.0,0.52,2.0
2020-01-25,1.8,0.7,2.9,2104,0.1,0.62,1.9
2020-01-26,0.2,-1.0,1.5,2143,0.1,0.54,1.9
2020-01-27,4.0,0.4,7.7,2883,3.6,0.62,2.9
2020-01-28,5.4,2.1,8.5,2824,10.0,0.69,4.5
2020-01-29,4.2,2.1,6.2,2322,4.5,0.69,4.4
2020-01-30,5.3,2.9,7.3,2311,4.1,0.73,4.1
2020-01-31,9.1,5.8,11.4,2638,0.4,0.9,4.6
2020-02-01,10.6,7.0,12.3,2401,2.1,0.97,4.5
2020-02-02,6.5,4.7,8.5,2506,3.6,0.82,3.9
2020-02-03,6.4,4.3,9.4,2554,3.0,0.8,3.7
2020-02-04,4.3,2.5,6.3,3259,2.3,0.71,4.1
2020-02-05,3.2,1.4,5.4,7420,0.0,0.65,3.0
2020-02-06,4.6,2.3,6.1,2646,0.0,0.7,2.3
2020-02-07,5.6,4.4,6.7,2698,0.0,0.81,1.9
2020-02-08,4.9,1.4,8.3,7388,0.0,0.66,2.3
2020-02-09,9.0,4.2,13.4,6169,7.5,0.83,5.2
2020-02-10,6.4,3.0,13.4,3053,4.7,0.77,7.0
2020-02-11,4.5,2.9,6.3,2917,0.1,0.73,6.6
2020-02-12,4.0,2.5,6.2,3237,0.1,0.71,5.6
2020-02-13,3.2,0.7,5.3,5435,1.1,0.62,3.3
2020-02-14,3.5,1.1,5.1,3091,1.5,0.64,2.5
2020-02-15,5.3,1.8,9.7,5409,0.0,0.68,3.1
2020-02-16,11.1,6.9,16.1,3282,1.7,0.99,5.2
2020-02-17,8.5,5.4,10.9,4397,0.1,0.87,4.5
2020-02-18,6.0,3.8,8.0,4757,1.9,0.78,4.8
2020-02-19,4.9,3.6,7.1,5126,3.7,0.76,4.3
2020-02-20,4.2,-0.5,7.1,3975,5.6,0.58,3.7
2020-02-21,5.5,3.2,7.4,5004,0.1,0.75,4.6
2020-02-22,7.9,4.8,11.2,4119,2.6,0.84,5.3
2020-02-23,5.7,3.5,7.7,3665,7.8,0.76,5.6
2020-02-24,4.8,1.2,7.3,3733,9.0,0.65,3.8
2020-02-25,7.2,3.6,9.7,8507,0.0,0.77,4.7
2020-02-26,3.2,1.1,5.8,4027,0.8,0.64,3.8
2020-02-27,1.9,-0.9,5.1,4257,0.4,0.56,3.1
2020-02-28,2.8,-1.3,8.0,6726,1.4,0.55,3.7
2020-02-29,6.3,1.2,11.1,6021,2.6,0.67,4.1
2020-03-01,5.8,2.1,9.8,8154,3.7,0.7,4.1
2020-03-02,5.1,2.3,9.7,6704,0.2,0.71,2.6
2020-03-03,3.9,0.4,7.8,4387,0.7,0.62,2.7
2020-03-04,2.7,-0.9,7.8,6989,0.1,0.57,2.3
2020-03-05,4.8,0.1,10.0,10071,0.3,0.62,2.6
2020-03-06,4.0,2.9,4.9,4528,4.0,0.72,3.9
2020-03-07,3.6,-1.0,5.9,4604,0.1,0.56,3.1
2020-03-08,4.4,-1.6,10.2,7664,0.0,0.55,3.1
2020-03-09,6.6,2.3,10.8,5466,1.0,0.72,2.6
2020-03-10,5.9,1.6,10.9,4834,8.7,0.69,4.5
2020-03-11,9.0,6.1,12.5,12595,4.2,0.92,4.4
2020-03-12,8.5,4.2,11.9,8549,2.7,0.81,5.3
2020-03-13,5.2,0.4,8.7,6266,1.3,0.62,4.6
2020-03-14,2.4,-2.7,7.6,15187,0.0,0.51,1.9
2020-03-15,6.0,0.0,11.8,13763,0.0,0.63,3.2
2020-03-16,7.8,0.7,15.6,14487,0.0,0.69,2.0
2020-03-17,7.8,0.6,14.9,9682,0.0,0.68,2.0
2020-03-18,11.0,3.1,16.8,13748,0.0,0.8,2.4
2020-03-19,8.8,5.7,12.8,5837,0.1,0.9,1.5
2020-03-20,6.6,2.9,10.5,5625,0.0,0.74,2.3
2020-03-21,3.0,-1.0,6.8,13014,0.0,0.56,4.0
2020-03-22,1.4,-3.0,5.9,17235,0.0,0.49,3.8
2020-03-23,0.7,-4.8,6.6,17407,0.0,0.44,3.1
2020-03-24,1.2,-5.9,7.9,17679,0.0,0.42,2.9
2020-03-25,3.1,-3.8,10.1,17849,0.0,0.48,3.3
2020-03-26,4.9,-1.9,11.1,17916,0.0,0.56,3.4
2020-03-27,8.5,1.9,15.9,17773,0.0,0.74,2.9
2020-03-28,7.1,1.4,13.8,18042,0.0,0.7,2.6
2020-03-29,2.3,-4.5,5.6,7923,0.8,0.44,4.0
2020-03-30,-0.8,-5.4,3.1,7275,2.8,0.4,2.7
2020-03-31,0.9,-3.7,5.8,10977,0.0,0.46,2.1
2020-04-01,3.4,-3.6,8.9,7875,0.0,0.48,2.3
2020-04-02,6.9,4.4,9.9,6993,0.3,0.81,2.9
2020-04-03,5.3,-0.7,10.9,14016,0.3,0.59,3.0
2020-04-04,4.8,-3.0,13.3,20362,0.0,0.53,1.7
2020-04-05,8.5,-1.5,16.3,20633,0.0,0.61,2.9
2020-04-06,12.4,4.7,21.7,20793,0.0,0.93,2.4
2020-04-07,10.8,3.3,18.2,21063,0.0,0.82,2.0
2020-04-08,11.9,2.2,22.3,20774,0.0,0.82,1.7
2020-04-09,10.5,0.5,16.9,17669,0.0,0.69,2.0
2020-04-10,7.1,-1.6,15.0,21530,0.0,0.6,1.8
2020-04-11,7.3,-2.2,15.7,21455,0.0,0.58,1.5
2020-04-12,12.9,0.5,22.9,22174,0.3,0.75,1.9
2020-04-13,7.3,0.4,13.4,14752,0.2,0.65,3.9
2020-04-14,4.9,-2.5,11.1,18552,0.0,0.53,2.9
2020-04-15,8.7,2.9,15.8,16941,0.0,0.78,2.6
2020-04-16,10.2,0.7,17.2,19968,0.0,0.7,2.0
2020-04-17,9.8,1.8,16.0,22785,0.0,0.73,1.6
2020-04-18,9.4,1.9,16.2,23745,0.0,0.74,2.1
2020-04-19,8.4,4.7,13.3,24003,0.0,0.85,3.0
2020-04-20,9.3,1.8,15.5,24141,0.0,0.72,4.1
2020-04-21,10.8,4.7,17.2,24277,0.0,0.87,4.6
2020-04-22,11.5,4.6,17.9,24530,0.0,0.88,3.6
2020-04-23,12.7,2.3,21.8,24422,0.0,0.82,1.9
2020-04-24,13.2,4.6,21.4,21063,0.0,0.92,2.8
2020-04-25,10.3,1.5,15.2,14901,0.0,0.71,2.5
2020-04-26,9.9,0.5,17.6,20318,0.0,0.69,1.5
2020-04-27,12.5,0.8,22.1,24555,0.0,0.76,1.8
2020-04-28,13.1,5.8,20.5,17603,5.5,0.97,2.1
2020-04-29,10.3,6.5,15.4,10237,2.9,0.96,2.5
2020-04-30,12.4,6.6,18.3,13494,0.8,1.0,2.9
2020-05-01,12.5,6.4,16.5,14062,0.8,0.97,3.1
2020-05-02,10.1,5.2,15.5,17470,3.3,0.89,3.0
2020-05-03,10.3,5.2,14.1,11122,0.0,0.89,2.0
2020-05-04,8.8,2.1,12.9,10692,3.4,0.73,2.1
2020-05-05,7.2,0.6,11.7,20204,0.6,0.64,2.5
2020-05-06,11.5,4.3,16.5,24776,0.0,0.85,2.4
2020-05-07,11.4,5.6,17.4,16499,0.0,0.93,2.0
2020-05-08,12.5,2.1,19.9,26714,0.0,0.79,1.6
2020-05-09,15.5,3.9,22.7,24799,0.0,0.89,1.5
2020-05-10,18.0,10.3,25.9,19981,0.3,1.33,2.1
2020-05-11,7.0,-1.9,10.4,10227,4.8,0.55,3.7
2020-05-12,6.7,-2.5,12.4,18486,0.1,0.55,2.4
2020-05-13,9.8,5.3,14.2,16529,1.3,0.89,2.0
2020-05-14,8.8,-0.4,13.7,21405,0.0,0.63,2.5
2020-05-15,8.9,-1.4,15.9,19443,0.0,0.6,2.6
2020-05-16,11.7,4.1,17.1,17218,0.0,0.84,2.4
2020-05-17,13.8,7.0,18.8,21730,0.0,1.02,2.5
2020-05-18,16.0,12.1,19.5,10957,0.0,1.4,2.3
2020-05-19,14.4,5.8,18.9,12917,0.0,0.95,2.3
2020-05-20,13.1,3.1,19.8,28174,0.0,0.83,1.6
2020-05-21,14.4,3.1,21.3,27854,0.0,0.84,1.5
2020-05-22,17.2,8.2,22.9,19074,1.2,1.14,2.1
2020-05-23,14.7,5.4,20.1,11169,1.6,0.94,2.8
2020-05-24,11.5,5.4,16.1,15445,5.0,0.9,3.5
2020-05-25,11.8,6.2,15.1,10473,1.1,0.95,3.1
2020-05-26,14.0,4.5,20.6,26077,0.0,0.9,1.6
2020-05-27,15.7,4.5,22.1,22132,0.0,0.93,1.9
2020-05-28,15.1,9.3,20.1,25267,0.0,1.18,2.7
2020-05-29,15.1,4.6,20.8,21440,0.0,0.91,2.1
2020-05-30,14.4,10.2,18.7,23543,0.0,1.24,2.5
2020-05-31,15.3,9.5,21.5,24613,0.0,1.22,2.7
2020-06-01,16.3,6.3,23.2,29560,0.0,1.03,2.4
2020-06-02,19.0,6.9,26.9,29337,0.0,1.11,1.7
2020-06-03,18.0,9.3,24.7,26525,0.0,1.24,1.9
2020-06-04,17.2,12.0,24.7,12445,10.3,1.44,2.2
2020-06-05,13.6,10.2,18.0,14669,2.3,1.22,3.4
2020-06-06,12.2,6.8,19.1,21168,0.1,1.01,3.2
2020-06-07,13.9,6.5,19.9,12507,0.0,1.0,2.3
2020-06-08,14.2,6.1,20.3,25619,0.0,0.98,1.5
2020-06-09,16.2,7.1,22.5,25509,0.0,1.06,1.9
2020-06-10,16.1,11.6,20.9,18781,2.3,1.36,2.1
2020-06-11,16.5,14.0,21.3,15033,0.0,1.57,2.0
2020-06-12,19.3,14.1,27.2,20755,0.0,1.64,2.5
2020-06-13,20.1,16.2,30.4,17002,38.0,1.92,2.4
2020-06-14,19.7,14.2,26.1,19997,0.0,1.65,2.7
2020-06-15,18.9,12.1,24.9,28312,0.0,1.46,2.0
2020-06-16,19.5,10.6,26.1,30135,0.0,1.35,1.4
2020-06-17,21.5,11.9,28.2,27543,0.0,1.49,1.7
2020-06-18,19.8,16.2,26.4,16511,2.9,1.85,2.2
2020-06-19,16.8,15.4,18.3,10412,1.5,1.7,2.3
2020-06-20,16.3,15.0,17.6,10411,8.0,1.65,2.5
