Date,TempMean,TempMin,TempMax,Radiation,Precipitation,VapPressure,Windspeed
2000-01-01,1.4,-1.0,2.4,1751,1.2,0.55,2.1
2000-01-02,3.3,1.5,5.2,2339,0.0,0.66,2.3
2000-01-03,4.6,2.1,5.5,1779,0.0,0.69,3.2
2000-01-04,4.7,3.9,5.1,1795,3.9,0.78,3.3
2000-01-05,1.8,-0.9,6.7,4329,0.0,0.57,3.1
2000-01-06,0.9,-2.8,5.7,4590,0.8,0.49,2.7
2000-01-07,3.5,0.2,6.7,2077,0.0,0.61,2.3
2000-01-08,3.8,-0.3,6.2,3063,0.0,0.59,2.9
2000-01-09,4.0,3.0,5.2,1891,0.5,0.73,1.7
2000-01-10,0.2,-0.4,3.4,1914,0.0,0.57,1.7
2000-01-11,-1.7,-4.6,2.8,3959,0.0,0.43,2.2
2000-01-12,-2.5,-5.2,1.4,4996,0.0,0.41,2.7
2000-01-13,-3.9,-5.4,-0.2,4954,0.0,0.4,2.6
2000-01-14,-1.0,-6.7,-0.1,2016,0.0,0.36,1.5
2000-01-15,-0.8,-1.4,0.1,2044,0.0,0.53,1.6
2000-01-16,0.7,-4.2,2.2,2074,1.9,0.44,2.5
2000-01-17,6.0,2.1,6.7,2104,3.3,0.69,5.4
2000-01-18,3.2,0.1,6.7,3390,3.3,0.61,5.4
2000-01-19,-0.5,-1.7,2.1,4550,0.0,0.52,2.8
2000-01-20,2.0,-2.7,3.2,2203,7.2,0.49,4.1
2000-01-21,-1.9,-3.8,3.8,3170,3.3,0.45,4.2
2000-01-22,-1.6,-4.0,0.5,2275,3.4,0.44,2.6
2000-01-23,-9.4,-12.1,-1.9,5696,0.0,0.25,2.1
2000-01-24,-7.2,-12.7,-4.0,2351,0.4,0.23,1.4
2000-01-25,-6.3,-13.9,-3.3,4067,0.0,0.21,1.9
2000-01-26,-0.2,-7.0,1.0,2432,0.7,0.36,2.8
2000-01-27,1.7,0.9,2.3,2474,0.3,0.62,3.4
2000-01-28,1.7,-0.3,2.2,3301,0.0,0.57,4.2
2000-01-29,5.4,0.7,6.7,2562,12.1,0.63,6.5
2000-01-30,4.0,3.5,7.2,5354,3.8,0.76,5.8
2000-01-31,8.1,3.1,10.6,4044,4.9,0.76,5.9
2000-02-01,8.0,6.0,9.6,2702,0.8,0.91,3.6
2000-02-02,6.3,4.6,7.8,2751,0.8,0.82,3.8
2000-02-03,3.7,2.1,6.7,3641,3.6,0.69,3.9
2000-02-04,5.6,0.2,8.2,4005,1.1,0.61,3.9
2000-02-05,8.7,6.2,11.5,3826,0.0,0.92,3.5
2000-02-06,8.5,5.5,14.5,6314,0.0,0.89,2.7
2000-02-07,6.9,4.9,11.2,3264,0.0,0.85,4.3
