location,SMDRY,SMW,SMFC,SMO,CRAIRC,SMI,SMLOWI,RDMSO,RUNFR,CFEV,KSUB,NMINS,PMINS,KMINS,RTNMINS,RTPMINS,RTKMINS
0,0.026274751,0.052549503,0.132391654,0.375575062,0.07,0.132391654,0.132391654,2,0,2,100,3,3,3,0.025,0.025,0.025
1,0.028805589,0.057611178,0.148076588,0.391740135,0.07,0.148076588,0.148076588,2,0,2,100,3,3,3,0.025,0.025,0.025
2,0.061266466,0.122532931,0.239434526,0.416913042,0.07,0.239434526,0.239434526,2,0,2,100,3,3,3,0.025,0.025,0.025
3,0.016730168,0.033460336,0.079726553,0.372395367,0.07,0.079726553,0.079726553,2,0,2,100,3,3,3,0.025,0.025,0.025
4,0.039435445,0.078870889,0.178745802,0.36494632,0.07,0.178745802,0.178745802,2,0,2,100,3,3,3,0.025,0.025,0.025
5,0.041183089,0.082366178,0.1540161,0.404326485,0.07,0.1540161,0.1540161,2,0,2,100,3,3,3,0.025,0.025,0.025
6,0.020010259,0.040020519,0.100029454,0.335405265,0.07,0.100029454,0.100029454,2,0,2,100,3,3,3,0.025,0.025,0.025
7,0.027341608,0.054683217,0.128910202,0.385821249,0.07,0.128910202,0.128910202,2,0,2,100,3,3,3,0.025,0.025,0.025
8,0.021793567,0.043587133,0.09616199,0.352463233,0.07,0.09616199,0.09616199,2,0,2,100,3,3,3,0.025,0.025,0.025
9,0.029173578,0.058347156,0.1220513,0.322009791,0.07,0.1220513,0.1220513,2,0,2,100,3,3,3,0.025,0.025,0.025
10,0.01644779,0.03289558,0.07770173,0.410698058,0.07,0.07770173,0.07770173,2,0,2,100,3,3,3,0.025,0.025,0.025
11,0.117741374,0.235482749,0.351047014,0.453817967,0.07,0.351047014,0.351047014,2,0,2,100,3,3,3,0.025,0.025,0.025
12,0.022187019,0.044374038,0.113858642,0.364166552,0.07,0.113858642,0.113858642,2,0,2,100,3,3,3,0.025,0.025,0.025
13,0.015188418,0.030376837,0.075077486,0.384981879,0.07,0.075077486,0.075077486,2,0,2,100,3,3,3,0.025,0.025,0.025
14,0.049560217,0.099120435,0.244365575,0.480145428,0.07,0.244365575,0.244365575,2,0,2,100,3,3,3,0.025,0.025,0.025
15,0.024518978,0.049037956,0.113205934,0.343752141,0.07,0.113205934,0.113205934,2,0,2,100,3,3,3,0.025,0.025,0.025
16,0.019043263,0.038086525,0.099425972,0.375704436,0.07,0.099425972,0.099425972,2,0,2,100,3,3,3,0.025,0.025,0.025
17,0.01591368,0.031827359,0.076711871,0.383006261,0.07,0.076711871,0.076711871,2,0,2,100,3,3,3,0.025,0.025,0.025
