Date,TempMean,TempMin,TempMax,Radiation,Precipitation,VapPressure,Windspeed
2020-01-01,2.8,-0.6,5.1,3179,0.0,0.57,1.8
2020-01-02,1.8,-4.0,8.1,4798,0.0,0.47,2.2
2020-01-03,5.0,1.0,7.6,1793,1.9,0.65,3.6
2020-01-04,4.1,0.9,6.5,1809,3.2,0.63,4.2
2020-01-05,1.0,-1.5,3.2,3182,0.1,0.53,2.1
2020-01-06,3.2,-0.7,5.1,1844,0.1,0.57,2.2
2020-01-07,1.9,-2.7,4.0,1955,0.6,0.49,2.6
2020-01-08,5.5,2.5,7.4,1883,3.8,0.71,2.9
2020-01-09,8.0,6.4,9.9,1905,10.2,0.93,2.7
2020-01-10,9.1,4.5,10.7,2068,1.8,0.82,3.4
2020-01-11,3.8,0.9,5.9,2377,0.2,0.63,2.7
2020-01-12,3.3,0.0,6.8,4883,0.0,0.6,3.6
2020-01-13,4.7,0.3,6.9,2147,0.0,0.62,2.6
2020-01-14,5.9,0.8,9.7,2660,0.0,0.65,4.0
2020-01-15,6.4,3.4,10.1,4310,0.1,0.77,3.9
2020-01-16,4.7,-2.2,10.7,5349,0.0,0.54,2.3
2020-01-17,2.5,-3.2,8.1,5362,0.2,0.49,2.6
2020-01-18,5.1,1.4,6.6,2200,0.2,0.66,2.9
2020-01-19,2.9,1.1,4.5,2183,0.1,0.64,1.9
2020-01-20,1.9,-2.6,5.7,3966,0.0,0.5,1.9
2020-01-21,0.8,-2.8,4.8,6151,0.0,0.49,2.3
2020-01-22,0.7,-1.4,2.1,2289,0.1,0.53,2.1
2020-01-23,1.4,-5.1,4.3,2327,0.0,0.42,1.8
2020-01-24,-0.6,-5.2,3.7,6499,0.0,0.41,2.0
2020-01-25,-1.0,-1.8,-0.6,2405,0.0,0.52,1.9
2020-01-26,0.1,-2.2,2.8,2886,0.1,0.51,1.9
2020-01-27,5.2,1.9,9.8,5542,1.2,0.69,2.9
2020-01-28,5.6,3.2,8.7,3599,7.2,0.75,4.5
2020-01-29,4.0,2.4,5.7,2633,1.6,0.7,4.4
2020-01-30,5.3,1.9,7.8,2622,3.5,0.69,4.1
2020-01-31,10.4,5.5,11.9,4006,0.0,0.88,4.6
2020-02-01,11.2,8.5,14.0,2717,7.1,1.08,4.5
2020-02-02,7.0,5.2,9.0,2884,6.1,0.85,3.9
2020-02-03,7.3,6.1,8.8,2996,10.7,0.9,3.7
2020-02-04,4.5,3.0,6.4,3354,3.0,0.73,4.1
2020-02-05,2.4,0.3,4.5,4522,0.1,0.6,3.0
